date,prob_up,actual_up,next_return,window
2019-01-23,0.4054724,1,0.0020924269243403,1
2019-01-24,0.7689192,1,0.000531503290523,1
2019-01-25,0.25888142,0,0.008461278993376,1
2019-01-28,0.13760342,0,-0.0076001406655517,1
2019-01-29,0.048825715,1,-0.0013269949708237,1
2019-01-30,0.40571398,1,0.0158305904548148,1
2019-01-31,0.08470783,1,0.0087828449458211,1
2019-02-01,0.5155939,1,0.0004813131425811,1
2019-02-04,0.4126939,1,0.0070355050742831,1
2019-02-05,0.06616337,0,0.0041919981428613,1
2019-02-06,0.051015195,0,-0.0013184681240121,1
2019-02-07,0.008455264,1,-0.0095327323080549,1
2019-02-08,0.075942144,1,0.001221635319313,1
2019-02-11,0.1800659,1,0.0005544065532556,1
2019-02-12,0.051189523,1,0.0128596809015315,1
2019-02-13,0.050162893,0,0.0032468364051285,1
2019-02-14,0.42190123,1,-0.0022182089374663,1
2019-02-15,0.014931689,1,0.0108972595100471,1
2019-02-19,0.23720576,1,0.0017301626857921,1
2019-02-20,0.013040661,0,0.0020158282917839,1
2019-02-21,0.034735978,1,-0.0035558597982223,1
2019-02-25,0.005266854,0,0.001361269559917,1
2019-02-26,0.03954701,0,-0.0007154773263226,1
2019-02-27,0.061082367,0,-0.0004295210833863,1
2019-02-28,0.03208054,1,-0.0018625425426468,1
2019-03-01,0.038920827,0,0.0062434512568942,1
2019-03-04,0.090405,0,-0.003637272264787,1
2019-03-05,0.05305598,0,-0.0013597608157838,1
2019-03-07,0.63994503,0,-0.0083651269073247,1
2019-03-08,0.09200615,1,-0.0019998599956522,1
2019-03-11,0.03948285,1,0.0145012425013684,1
2019-05-07,0.4640097,0,-0.0166996075735441,2
2019-05-08,0.7720955,0,-0.0013889161867699,2
2019-05-09,0.8458247,1,-0.0030258440919421,2
2019-05-10,0.543787,0,0.005023518291247,2
2019-05-13,0.67866987,1,-0.0251304204673085,2
2019-05-14,0.5751231,1,0.0090435851185239,2
2019-05-15,0.53523594,1,0.0058575865141317,2
2019-05-16,0.63447875,0,0.0092611226056495,2
2019-05-17,0.39175922,0,-0.0064649340902451,2
2019-05-20,0.21947749,0,-0.0066123560198071,2
2019-05-22,0.2122539,0,-0.0030714178724917,2
2019-05-23,0.14708932,1,-0.0122187387447735,2
2019-05-24,0.14552161,0,0.002268742165288,2
2019-05-28,0.2523775,0,-0.0093007697989788,2
2019-05-29,0.08266957,1,-0.0067105854706265,2
2019-05-30,0.15274222,0,0.0027310580286581,2
2019-06-03,0.15782458,1,-0.0025428788043525,2
2019-06-05,0.7358009,1,0.0086624148601532,2
2019-06-07,0.32448536,1,0.0100067961764469,2
2019-06-10,0.6691509,0,0.0045893374432437,2
2019-06-11,0.12872043,1,-0.0002423486769149,2
2019-06-13,0.22928497,1,0.0041259949243861,2
